movieid,title,genre,img_path
1281,the great dictator,['Comedy'],../dataset/posters/1281.jpg
3755,the perfect storm,"['Action', 'Adventure', 'Thriller']",../dataset/posters/3755.jpg
1852,love walked in,"['Drama', 'Thriller']",../dataset/posters/1852.jpg
2735,the golden child,"['Action', 'Adventure', 'Comedy']",../dataset/posters/2735.jpg
2424,you've got mail,"['Comedy', 'Romance']",../dataset/posters/2424.jpg
2047,the gnome-mobile,"[""Children's""]",../dataset/posters/2047.jpg
526,savage nights,['Drama'],../dataset/posters/526.jpg
2826,the 13th warrior,"['Action', 'Horror', 'Thriller']",../dataset/posters/2826.jpg
824,kaspar hauser,['Drama'],../dataset/posters/824.jpg
2141,an american tail,"['Animation', ""Children's"", 'Comedy']",../dataset/posters/2141.jpg
3674,for the love of benji,"['Adventure', ""Children's""]",../dataset/posters/3674.jpg
3238,eye of the beholder,['Thriller'],../dataset/posters/3238.jpg
2166,return to paradise,"['Drama', 'Romance']",../dataset/posters/2166.jpg
1511,a chef in love,['Comedy'],../dataset/posters/1511.jpg
2084,newsies,"[""Children's"", 'Musical']",../dataset/posters/2084.jpg
3485,autopsy,['Horror'],../dataset/posters/3485.jpg
2263,the seventh sign,['Thriller'],../dataset/posters/2263.jpg
2429,mighty joe young,"['Adventure', ""Children's"", 'Drama']",../dataset/posters/2429.jpg
1331,audrey rose,['Horror'],../dataset/posters/1331.jpg
3734,prince of the city,['Drama'],../dataset/posters/3734.jpg
2109,the jerk,['Comedy'],../dataset/posters/2109.jpg
3404,titanic,"['Action', 'Drama']",../dataset/posters/3404.jpg
1238,local hero,['Comedy'],../dataset/posters/1238.jpg
1359,jingle all the way,"['Adventure', ""Children's"", 'Comedy']",../dataset/posters/1359.jpg
1079,a fish called wanda,['Comedy'],../dataset/posters/1079.jpg
1092,basic instinct,"['Mystery', 'Thriller']",../dataset/posters/1092.jpg
1237,the seventh seal,['Drama'],../dataset/posters/1237.jpg
1279,night on earth,"['Comedy', 'Drama']",../dataset/posters/1279.jpg
510,poetic justice,['Drama'],../dataset/posters/510.jpg
851,basquiat,['Drama'],../dataset/posters/851.jpg
2927,brief encounter,"['Drama', 'Romance']",../dataset/posters/2927.jpg
2503,the apple,['Drama'],../dataset/posters/2503.jpg
2193,willow,"['Action', 'Adventure', 'Fantasy']",../dataset/posters/2193.jpg
36,dead man walking,['Drama'],../dataset/posters/36.jpg
2722,deep blue sea,"['Action', 'Sci-Fi', 'Thriller']",../dataset/posters/2722.jpg
1073,willy wonka and the chocolate factory,"['Adventure', ""Children's"", 'Comedy', 'Fantasy']",../dataset/posters/1073.jpg
943,the ghost and mrs. muir,"['Drama', 'Romance']",../dataset/posters/943.jpg
1972,a nightmare on elm street 5: the dream child,['Horror'],../dataset/posters/1972.jpg
2744,otello,['Drama'],../dataset/posters/2744.jpg
1077,sleeper,"['Comedy', 'Sci-Fi']",../dataset/posters/1077.jpg
1740,men of means,"['Action', 'Drama']",../dataset/posters/1740.jpg
7,sabrina,"['Comedy', 'Romance']",../dataset/posters/7.jpg
3140,the three ages,['Comedy'],../dataset/posters/3140.jpg
2392,jack frost,"['Comedy', 'Drama']",../dataset/posters/2392.jpg
473,in the army now,"['Comedy', 'War']",../dataset/posters/473.jpg
2077,the journey of natty gann,"['Adventure', ""Children's""]",../dataset/posters/2077.jpg
2633,the mummy,"['Horror', 'Romance']",../dataset/posters/2633.jpg
106,nobody loves me,"['Comedy', 'Drama']",../dataset/posters/106.jpg
3653,the endless summer,['Documentary'],../dataset/posters/3653.jpg
1610,the hunt for red october,"['Action', 'Thriller']",../dataset/posters/1610.jpg
3440,teenage mutant ninja turtles iii,"['Action', ""Children's"", 'Fantasy']",../dataset/posters/3440.jpg
3781,shaft in africa,"['Action', 'Crime']",../dataset/posters/3781.jpg
2382,police academy 5: assignment: miami beach,['Comedy'],../dataset/posters/2382.jpg
291,poison ivy ii,['Thriller'],../dataset/posters/291.jpg
3120,the distinguished gentleman,['Comedy'],../dataset/posters/3120.jpg
3193,creature,['Documentary'],../dataset/posters/3193.jpg
2328,vampires,['Horror'],../dataset/posters/2328.jpg
3130,bonfire of the vanities,['Comedy'],../dataset/posters/3130.jpg
2996,music of the heart,['Drama'],../dataset/posters/2996.jpg
3741,badlands,"['Crime', 'Drama']",../dataset/posters/3741.jpg
3111,places in the heart,['Drama'],../dataset/posters/3111.jpg
721,halfmoon,['Drama'],../dataset/posters/721.jpg
598,window to paris,['Comedy'],../dataset/posters/598.jpg
3142,u2: rattle and hum,"['Documentary', 'Musical']",../dataset/posters/3142.jpg
3571,time code,['Drama'],../dataset/posters/3571.jpg
2665,earth vs. the flying saucers,['Sci-Fi'],../dataset/posters/2665.jpg
1676,starship troopers,"['Action', 'Adventure', 'Sci-Fi', 'War']",../dataset/posters/1676.jpg
1780,ayn rand: a sense of life,['Documentary'],../dataset/posters/1780.jpg
533,the shadow,['Action'],../dataset/posters/533.jpg
2965,the omega code,['Action'],../dataset/posters/2965.jpg
1480,smilla's sense of snow,"['Action', 'Drama', 'Thriller']",../dataset/posters/1480.jpg
3143,hell in the pacific,"['Drama', 'War']",../dataset/posters/3143.jpg
1356,star trek: first contact,"['Action', 'Adventure', 'Sci-Fi']",../dataset/posters/1356.jpg
3775,make mine music,"['Animation', ""Children's"", 'Musical']",../dataset/posters/3775.jpg
1328,the amityville curse,['Horror'],../dataset/posters/1328.jpg
831,stonewall,['Drama'],../dataset/posters/831.jpg
3478,la bamba,['Drama'],../dataset/posters/3478.jpg
3773,house party,['Comedy'],../dataset/posters/3773.jpg
2400,prancer,"[""Children's"", 'Drama']",../dataset/posters/2400.jpg
3852,the tao of steve,['Comedy'],../dataset/posters/3852.jpg
3722,live virgin,['Comedy'],../dataset/posters/3722.jpg
3038,a face in the crowd,['Drama'],../dataset/posters/3038.jpg
2267,mortal thoughts,"['Mystery', 'Thriller']",../dataset/posters/2267.jpg
355,the flintstones,"[""Children's"", 'Comedy']",../dataset/posters/355.jpg
1702,flubber,"[""Children's"", 'Comedy', 'Fantasy']",../dataset/posters/1702.jpg
191,the scarlet letter,['Drama'],../dataset/posters/191.jpg
1750,star kid,"['Adventure', ""Children's"", 'Fantasy', 'Sci-Fi']",../dataset/posters/1750.jpg
1064,aladdin and the king of thieves,"['Animation', ""Children's"", 'Comedy']",../dataset/posters/1064.jpg
3707,nine 1/2 weeks,['Drama'],../dataset/posters/3707.jpg
708,the truth about cats & dogs,"['Comedy', 'Romance']",../dataset/posters/708.jpg
