,Crime,Thriller,Fantasy,Horror,Sci-Fi,Comedy,Documentary,Adventure,Film-Noir,Animation,Romance,Drama,Western,Musical,Action,Mystery,War,Children's,total
1,2,3,3,0,3,14,0,5,0,18,6,21,0,14,5,0,2,20,116
2,12,31,1,2,17,25,0,19,1,0,24,79,3,0,56,3,15,0,288
3,0,5,2,3,6,30,0,25,0,3,5,8,6,1,23,1,2,3,123
4,1,4,2,3,9,0,0,6,0,0,2,6,2,0,19,0,3,1,58
5,21,39,0,10,15,56,6,9,3,4,30,104,1,3,31,8,6,6,352
6,2,3,2,0,2,32,0,8,0,9,34,22,8,19,11,0,5,16,173
7,2,15,0,1,10,3,0,8,0,0,3,8,0,0,29,1,4,0,84
8,13,29,0,1,13,18,0,9,0,4,30,108,1,1,36,4,10,3,280
9,16,27,1,1,9,27,2,7,1,9,18,54,1,0,20,1,7,5,206
10,15,27,38,19,71,183,2,70,4,33,67,116,8,37,81,8,24,64,867
11,7,18,2,4,4,84,2,8,0,1,22,54,1,3,9,3,4,6,232
12,6,3,0,1,1,7,0,3,1,0,1,12,0,1,6,1,1,1,45
13,8,20,14,3,37,18,0,75,1,2,13,22,3,2,66,4,9,12,309
14,3,4,0,4,2,8,0,0,0,0,6,13,0,0,4,1,1,0,46
15,32,63,7,10,18,63,0,23,2,2,25,79,3,4,56,19,13,3,422
16,1,5,0,2,5,22,0,5,1,4,11,4,2,1,7,1,1,4,76
17,22,56,9,20,116,33,1,35,12,10,15,69,2,2,63,9,12,11,497
18,33,42,33,7,44,80,0,81,3,42,44,103,9,22,127,8,21,78,777
19,15,52,8,58,54,74,1,44,1,30,21,39,2,17,99,9,10,30,564
20,5,9,0,1,9,4,0,4,1,0,2,6,0,0,17,2,3,0,63
21,1,2,0,1,5,7,0,5,1,14,1,1,1,2,5,1,2,8,57
22,24,88,13,31,58,140,1,51,2,11,30,55,4,6,105,11,14,19,663
23,54,99,28,30,111,92,5,53,9,13,27,72,2,5,99,15,11,22,747
24,13,5,6,3,14,72,1,26,1,4,38,66,3,7,28,1,10,4,302
25,2,16,6,3,43,27,1,27,1,9,5,19,1,1,45,1,13,8,228
26,12,48,14,13,33,217,0,35,1,12,102,138,8,14,67,13,14,31,772
27,6,8,9,2,4,25,0,9,14,3,9,25,2,1,7,4,6,6,140
28,7,22,4,6,15,36,0,10,6,4,24,46,3,6,19,5,8,6,227
29,8,34,3,7,29,11,0,29,2,1,9,24,3,1,90,1,17,0,269
30,6,7,1,1,3,8,2,1,1,1,6,27,0,1,4,2,2,1,74
31,7,5,2,6,8,106,1,11,0,3,22,21,5,7,16,3,5,6,234
32,5,22,1,0,5,13,0,2,1,4,9,21,1,3,7,1,4,3,102
33,37,88,7,53,47,83,3,37,11,4,43,163,12,17,70,17,23,18,733
34,5,18,4,16,7,120,0,13,0,5,62,41,1,4,17,3,2,9,327
35,7,18,3,2,6,74,0,10,2,10,61,101,15,28,19,11,13,11,391
36,31,91,9,18,68,138,10,42,5,20,49,111,10,8,123,12,38,17,800
37,1,4,2,4,4,29,0,6,0,3,38,9,0,7,9,1,5,4,126
38,3,11,0,0,2,49,1,4,0,8,61,44,0,7,7,1,2,14,214
39,7,12,0,4,8,28,0,5,1,5,8,18,0,0,12,3,1,4,116
40,2,10,9,1,24,17,0,61,1,1,12,21,2,3,49,1,41,10,265
41,0,6,2,5,6,5,0,4,0,2,7,9,0,1,7,2,4,3,63
42,17,56,23,13,120,59,1,67,1,4,19,41,4,3,125,5,12,11,581
43,1,4,0,0,1,15,0,1,0,2,7,5,0,1,3,0,1,1,42
44,8,32,25,28,46,69,0,65,2,18,29,36,2,16,56,10,9,35,486
45,4,12,7,5,13,235,0,18,0,8,150,85,6,15,13,5,7,19,602
46,0,9,1,33,1,4,1,2,0,0,0,4,0,0,3,3,0,0,61
47,5,3,0,0,0,3,0,1,0,0,6,20,0,0,3,0,2,1,44
48,26,92,35,21,104,240,3,114,4,38,84,152,24,37,191,23,53,87,1328
49,13,29,3,4,27,16,1,27,2,24,10,22,0,8,64,3,10,19,282
50,2,8,0,3,4,15,0,6,0,3,7,16,1,2,8,2,1,3,81
51,1,6,0,3,3,26,0,0,1,5,7,13,0,2,2,1,0,6,76
52,8,33,1,5,11,19,0,14,0,0,8,21,3,0,63,4,7,0,197
53,60,157,42,87,136,165,1,87,10,34,97,294,10,45,156,36,36,58,1511
54,2,1,1,1,2,36,0,1,0,1,4,11,4,1,2,1,1,3,72
55,3,7,0,0,1,3,1,1,0,3,3,13,1,0,3,0,4,4,47
56,12,16,0,0,1,27,1,0,1,5,8,32,0,2,8,1,9,6,129
57,6,11,0,9,9,22,0,10,0,6,1,19,0,4,18,1,5,7,128
58,28,84,18,44,153,116,2,81,5,21,44,133,7,16,165,18,35,32,1002
59,11,21,2,8,16,53,1,12,9,3,62,115,6,30,18,11,27,7,412
60,8,19,4,3,12,26,0,29,2,2,11,12,2,0,23,21,4,8,186
61,2,8,1,4,6,13,0,5,0,1,3,5,0,0,15,1,1,2,67
62,42,82,11,16,53,159,3,45,18,7,97,242,13,20,83,28,30,11,960
63,5,24,0,13,11,40,2,3,2,5,9,36,0,0,15,3,5,4,177
64,0,9,0,6,5,5,0,8,0,1,1,7,0,1,15,2,3,0,63
65,9,29,3,1,19,35,1,34,1,5,16,44,0,5,58,2,16,8,286
66,0,2,1,1,4,11,0,6,0,1,1,11,0,4,7,0,7,4,60
67,7,6,0,2,2,13,0,3,1,0,10,54,1,1,5,0,9,0,114
68,4,3,2,3,4,53,1,3,0,5,14,21,5,6,7,1,2,6,140
69,4,6,0,0,3,10,0,3,0,0,14,63,1,0,5,0,7,0,116
70,3,12,1,5,6,22,0,4,1,6,4,17,0,2,10,2,2,6,103
71,3,6,0,2,3,7,0,6,1,0,1,9,0,1,9,2,1,0,51
72,3,6,1,0,4,26,0,4,0,0,10,22,1,0,8,0,4,0,89
73,20,67,11,19,80,95,0,70,0,9,17,33,4,6,151,6,18,18,624
74,12,12,0,0,0,14,1,0,6,0,5,22,1,4,3,12,2,2,96
75,0,6,22,0,20,83,0,46,0,62,11,19,1,29,18,3,5,134,459
76,16,21,0,0,6,24,0,1,1,7,10,48,0,0,24,3,3,2,166
77,0,5,0,3,1,17,0,1,0,2,4,17,0,0,4,0,2,1,57
78,2,2,4,0,3,106,0,7,0,21,32,32,1,43,1,1,3,27,285
79,4,11,1,3,4,6,0,1,2,3,4,12,0,1,6,14,0,3,75
80,2,7,1,0,7,12,0,8,0,9,9,21,1,5,13,0,8,12,115
81,13,16,1,5,10,21,1,7,11,1,4,38,4,2,15,9,14,0,172
82,10,59,1,9,30,22,0,13,1,0,16,51,2,0,40,17,7,0,278
83,3,12,36,6,17,37,0,28,2,9,17,24,1,2,23,2,1,20,240
84,3,6,2,3,14,7,0,12,0,0,4,9,0,0,21,0,9,0,90
85,1,9,0,6,3,12,1,2,0,1,2,17,0,1,7,2,1,1,66
86,1,10,4,3,10,11,0,21,1,3,10,6,1,5,13,4,2,12,117
87,5,10,1,3,11,9,1,11,0,1,8,17,2,1,51,0,5,2,138
88,6,6,0,1,3,23,0,3,3,0,9,48,0,0,6,4,8,0,120
89,1,2,0,0,0,9,0,1,0,0,1,9,0,0,6,0,3,0,32
90,28,66,5,8,21,86,0,25,5,6,24,72,4,4,63,18,12,10,457
91,3,1,1,1,0,37,0,3,0,0,10,13,1,1,5,2,6,0,84
92,15,72,40,22,63,164,0,92,1,64,72,97,4,54,100,10,16,110,996
93,16,66,27,11,66,36,0,79,1,19,25,23,5,5,184,2,19,25,609
94,0,4,0,17,5,4,0,1,0,1,0,2,0,1,3,0,0,2,40
95,15,31,0,1,12,38,0,14,1,1,14,40,1,1,39,3,9,1,221
96,6,18,2,0,6,21,0,9,1,5,11,47,3,3,19,2,10,8,171
97,14,25,2,11,8,42,0,11,13,4,20,66,5,12,11,13,18,6,281
98,2,2,0,2,3,7,0,4,0,0,3,8,0,1,6,1,5,0,44
99,11,14,4,2,6,50,0,9,0,8,12,47,1,5,15,1,6,13,204
100,6,14,2,2,24,11,0,33,1,0,14,24,3,1,62,4,14,1,216
101,4,33,5,4,34,23,0,42,0,0,12,19,1,0,99,1,8,5,290
102,8,28,2,2,17,45,0,8,6,8,24,52,2,3,20,8,2,9,244
103,7,54,2,5,39,19,0,34,0,4,10,19,0,4,101,5,10,7,320
104,4,11,0,4,6,18,0,2,1,2,3,15,1,0,10,0,1,2,80
105,8,17,3,4,16,6,0,13,0,0,9,17,3,1,57,0,10,0,164
106,0,7,1,1,2,23,0,3,0,2,42,21,0,6,5,2,6,3,124
107,12,27,2,6,9,19,1,6,8,2,17,56,4,9,14,7,15,3,217
108,1,7,0,4,7,14,1,7,0,2,3,8,1,4,11,1,2,2,75
109,1,7,9,1,20,45,0,24,1,8,12,10,2,13,20,4,8,21,206
110,50,25,2,6,8,22,0,10,1,0,7,25,0,0,32,8,1,0,197
111,8,17,1,0,4,37,2,5,1,3,23,45,1,1,12,5,4,3,172
112,7,14,2,1,2,12,0,3,23,35,2,6,0,14,1,6,0,27,155
113,2,22,0,10,28,14,1,12,0,2,6,17,0,1,30,1,5,1,152
114,0,1,13,1,8,33,0,22,0,42,11,22,1,27,2,2,1,71,257
115,2,12,0,9,12,9,0,9,0,3,0,6,0,3,13,1,1,2,82
116,9,18,18,11,15,26,0,15,1,2,4,23,1,0,27,2,5,8,185
117,21,95,34,119,154,110,1,112,3,52,34,78,16,38,196,7,30,64,1164
118,13,42,10,3,49,88,0,65,3,5,47,55,2,2,118,3,26,5,536
119,0,7,8,7,10,56,0,14,1,32,10,10,2,11,9,4,1,58,240
120,14,15,1,5,7,14,0,6,0,1,2,36,1,1,19,2,7,1,132
